"ID","index","Name of Project","FPIC","Protected Area","Forest Type","Contested","Customary_use","legal_tenure","deforestation_driver","monetary_benefit_yn","monetary_benefit_type_conditional","monetary_benefit_type","direct_cash_yn","employment_yn","non_cash_benefits_yn","non_cash_benefits_type","economic_activities_list","tenure_yn","tenure_type","education_yn","restriction_yn","enhancement_yn","infrastructure_yn","wellbeing_yn","standards","project_objectives","nationality","type_partner","dist_road_m","dist_road_track_m","dist_water_m","dist_urban_m","VCS Methodology","Country","Observed Post-REDD+ annual average forest area loss","SC Post-REDD+ annual average forest area loss","Difference Annual  (ha)","Observed Post-REDD+ cumulative forest loss area","SC Post-REDD+ cumulative forest loss area","Difference Cumulative (ha)","Significance","deforestation_outcome","deforestation_binary","driver_smallholder_ag","driver_industrial_ag","driver_livestock","driver_wood_extraction","driver_illegal_logging","driver_infrastructure","driver_mining","driver_oil_extraction","driver_local_livelihoods","driver_other","cu_private","cu_communities","cu_state","lt_public","lt_private","lt_communities","mb_PES","mb_job","mb_carbon","mb_pension","mb_grant","mb_ecotourism","mb_indirect","mb_none","ncb_training","ncb_infrastructure","ncb_microfinance","ncb_health","ncb_livelihood","ncb_land_rights","ncb_water","ea_processing","ea_agroforestry","ea_microenterprise","ea_ecotourism","ea_timber","ea_agriculture","ea_cookstoves","ea_ntfp","ea_fishing","ea_tree_planting","ea_mining","std_VCS","std_CCB","std_FSC","obj_forest_production","obj_social","obj_conservation","obj_climate","obj_return","local_developer","tp_private","tp_ngo","tp_public","tp_community","fpic","protected_area","contested","direct_cash","employment","education","ft_humid","ft_dry","ft_other","tt_titling","tt_planning","iso_code.x","country","continent","gdlcode","region","wealth_income_avg","WEALTH_AVG","INCOME_AVG","geometry","vcs_methodology","conditionality","forest_type","longitude","latitude","dist_urban_new","diff_annual","dist_water_km","dist_road_km","dist_urban_km","dist_urban_new_km","driver_ag_combined","fpic_f","protected_area_f","contested_f","direct_cash_f","employment_f","education_f","conditionality_f","tenure","rights_private","rights_communities","rights_public_state","cash_conditionality","Country_group","direct_cash_factor","project_type","n_drivers","Area","log_area","diff_annual_norm","Start_year"
844,37,"Madre de Dios Amazon REDD+ Project","ND","no","humid","ND","private","state","illegal logging;transient agriculture","yes","non-conditional","Ecotourism","yes","ND","yes","Training & Capacity Building; Health Services; Infrastructure & Equipment; Water & Sanitation","fishing;other","no","ND","yes","yes","yes","yes","yes","CCB;VCS;FSC","climate;indigenous peoples;biodiversity conservation","Uruguay","ngo/private non for profit",4674.938677,4674.938677,9320.788688,140835.1275,"VM0007","Peru",54.03,24.84,29.19,756.45,347.7,408.75,"Yes","Failure",0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,"PER","Peru","America","PERr103","East (Madre de Dios, Cusco, Puno, Apurimac)",2.70647457937112,0,2.70647457937112,"POINT (-70.05049 -11.07506)","VM0007",0,"humid",-70.050486,-11.075057,71857.7458858838,29.19,9.320788688,4.674938677,140.8351275,71.8577458858838,0,"ND","No","ND","Yes","ND","Yes","Non-conditional",0,1,0,1,"Unconditional_cash","Peru","Yes","NGO_VCS_CCB",2,97955,11.4922634685221,0.0297993976826094,2009
856,20,"The Chocó–Darién Conservation Corridor REDD Project","no","no","humid","no","private;communities","communities","illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods","yes","both","PES","yes","yes","yes","Training & Capacity Building; Microfinance & Enterprise Support; Health Services; Infrastructure & Equipment","agriculture;conservation agriculture;micro-credits;microenterprise;processing and commercialization","yes","Land titling & tenure security","no","yes","yes","yes","yes","CCB;VCS","biodiversity conservation;social development;climate","United States;Colombia","private for-profit;ngo/private non for profit",7300.167008,6161.451903,807.1818881,73483.76606,"VM0009","Colombia",26.38,45.28,-18.9,342.9,588.58,-245.68,"No","Success",1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,"COL","Colombia","America","COLr112","Choco",2.63979099877947,0,2.63979099877947,"POINT (-77.33083 8.405559)","VM0009",1,"humid",-77.330833,8.405559,12227.3052906713,-18.9,0.8071818881,6.161451903,73.48376606,12.2273052906713,1,"No","No","No","Yes","Yes","No","Conditional",1,1,1,0,"Conditional_cash","Colombia","Yes","Other",5,12711,9.45022303929467,-0.148690110927543,2010
875,1,"Florestal Santa Maria Project","no","no","humid","ND","private","state","fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods;slash and burn agriculture","yes","conditional","PES","yes","yes","yes","Training & Capacity Building","processing and commercialization","no","ND","yes","no","no","no","no","VCS","timber production;social development;biodiversity conservation","Brazil","private for profit",4113.729213,2098.134798,806.3299777,354873.952,"VM0007","Brazil",53.11,97.44,-44.33,743.49,1364.12,-620.63,"No","Success",1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,"BRA","Brazil","America","BRAr125","Mato Grosso",3.14931944770151,0,3.14931944770151,"POINT (-59.2649 -9.096279)","VM0007",1,"humid",-59.264904,-9.096279,39754.309246159,-44.33,0.8063299777,2.098134798,354.873952,39.754309246159,1,"No","No","ND","Yes","Yes","Yes","Conditional",0,1,0,1,"Conditional_cash","Brazil","Yes","Private_VCS_only",6,71662,11.1797159000425,-0.0618598420362256,2009
904,18,"Reduced Emissions from Deforestation and Degradation in Community Forests -- Oddar Meanchey, Cambodia","no","no","dry and humid","ND","communities","communities","energy wood;fire;illegal logging;industrial wood exploitation;local livelihoods;oil extraction","yes","conditional","Carbon revenue sharing","ND","yes","yes","Training & Capacity Building; Infrastructure & Equipment; Water & Sanitation","micro-credits;processing and commercialization","yes","Land titling & tenure security","yes","yes","yes","no","yes","CCB;VCS","biodiversity conservation;climate;social development","United States;Cambodia","ngo/private non for profit;public;private for profit",40.861436,40.861436,12553.72182,44692.85067,"VM0006","Cambodia",885.63,885.56,0.07,13284.45,13283.41,1.04,"Yes","Failure",0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,"KHM","Cambodia","Asia/Pacific","KHMr117","Siem Reab-Otdar Mean Chey",2.59631540911405,2.59631540911405,0,"POINT (103.6626 14.30416)","VM0006",1,"dry and humid",103.66264,14.30416,12033.8608299975,0.07,12.55372182,0.040861436,44.69285067,12.0338608299975,0,"No","No","ND","ND","Yes","Yes","Conditional",1,0,1,0,"ND","Rest","ND","Other",5,63793,11.0633987454451,0.000109729907670121,2008
934,30,"The Mai Ndombe REDD+ Project","no","no","humid","yes","private;communities","state","charcoal production;energy wood;industrial wood exploitation;local livelihoods;slash and burn agriculture","yes","non-conditional","Job","yes","yes","yes","Training & Capacity Building; Health Services","agriculture;agroforestry;tree planting","no","ND","yes","yes","yes","yes","yes","VCS;CCB","return on investment;climate;social development","Canada;United States","private for profit;ngo/private non for profit",2879.870155,2572.372618,3048.929076,158196.8684,"VM0009","Democratic Republic of Congo",1139.81,1155.09,-15.28,13677.75,13861.12,-183.37,"No","Success",1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,"COD","Congo Democratic Republic","Africa","CODr103","Bandundu",2.43816931502782,2.43816931502782,0,"POINT (18.1062 -2.045)","VM0009",0,"humid",18.1062,-2.045,20725.1034664938,-15.28,3.048929076,2.572372618,158.1968684,20.7251034664938,0,"No","No","Yes","Yes","Yes","Yes","Non-conditional",0,1,1,1,"Unconditional_cash","Rest","Yes","Other",3,251141,12.4337698133778,-0.00608423156712763,2011
944,36,"Alto Mayo Conservation Initiative","no","yes","humid","ND","state;private;communities","state","industrial agriculture or cattle ranching;infrastructure;local livelihoods","yes","conditional","PES","yes","ND","yes","Training & Capacity Building; Infrastructure & Equipment; Health Services","other","no","ND","yes","yes","yes","yes","yes","CCB;VCS","social development;biodiversity conservation;climate","Peru","ngo/private non for profit",5623.27944,5623.27944,873.7269979,56787.7906,"VM0015","Peru",271.42,737.57,-466.15,4071.33,11063.54,-6992.21,"Yes","Success",1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,1,0,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,"PER","Peru","America","PERr102","North East (Amazonas, Loreto, San Martin, Ucayali)",2.70717511586071,0,2.70717511586071,"POINT (-77.3315 -5.6432)","VM0015",1,"humid",-77.3315,-5.6432,19111.032754559,-466.15,0.8737269979,5.62327944,56.7877906,19.111032754559,1,"No","Yes","ND","Yes","ND","Yes","Conditional",0,1,1,1,"Conditional_cash","Peru","Yes","NGO_VCS_CCB",4,177750,12.0881333476655,-0.26225035161744,2008
958,35,"Biocorredor Martin Sagrado REDD+ Project","no","no","humid","yes","private;communities","private;communities","industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure;local livelihoods;mining","yes","non-conditional","Job","no","yes","yes","Training & Capacity Building; Health Services","agroforestry;ecotourism;micro-credits;processing and commercialization","yes","Land use planning & demarcation","yes","yes","yes","no","yes","CCB;VCS","biodiversity conservation;social development;climate","France","private for profit",15411.07675,15411.07675,168.9580522,110540.5047,"VM0015","Peru",259.16,531.4,-272.24,3369.06,6908.15,-3539.09,"No","Success",1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,"PER","Peru","America","PERr102","North East (Amazonas, Loreto, San Martin, Ucayali)",2.70717511586071,0,2.70717511586071,"POINT (-77.19922 -7.06739)","VM0015",0,"humid",-77.19922,-7.06739,48846.6204382329,-272.24,0.1689580522,15.41107675,110.5405047,48.8466204382329,1,"No","No","Yes","No","Yes","Yes","Non-conditional",1,1,1,0,"No_cash","Peru","No","Private_VCS_CCB",6,295625,12.5968470382283,-0.0920896405919662,2010
963,3,"The Purus Project","yes","no","humid","no","private","state","fire;local livelihoods;slash and burn agriculture","yes","conditional","Carbon revenue sharing","yes","yes","yes","Training & Capacity Building; Health Services; Infrastructure & Equipment","ecotourism","yes","Land titling & tenure security","yes","yes","yes","yes","yes","CCB;VCS","social development;biodiversity conservation;ND","United States","private for profit",11245.88314,11245.88314,2387.689868,200416.6107,"VM0007","Brazil",210.65,210.08,0.57,2527.83,2520.94,6.89,"No","Failure",0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,"BRA","Brazil","America","BRAr102","Acre",2.54112444850257,0,2.54112444850257,"POINT (-69.444 -9.044)","VM0007",1,"humid",-69.444,-9.044,29883.9512153912,0.57,2.387689868,11.24588314,200.4166107,29.8839512153912,0,"Yes","No","No","Yes","Yes","Yes","Conditional",1,1,0,1,"Conditional_cash","Brazil","Yes","Private_VCS_CCB",3,35822,10.4863175087852,0.00159120093797108,2011
977,2,"RMDLT Portel–Pará REDD Project","no","no","humid","ND","private;communities","state","industrial agriculture or cattle ranching;infrastructure;slash and burn agriculture","yes","non-conditional","Job","no","yes","yes","Training & Capacity Building; Infrastructure & Equipment; Microfinance & Enterprise Support","agroforestry;microenterprise","yes","Land titling & tenure security","yes","no","no","no","no","VCS;CCB","climate;biodiversity conservation;participatory forest management","Switzerland;United States;Belize","private for profit",18414.41253,56.00232894,5964.764441,131991.0368,"VM0015","Brazil",242.02,1874.99,-1632.97,3388.14,26249.8,-22861.66,NA,"Success",1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,"BRA","Brazil","America","BRAr105","Para",2.45272766955273,0,2.45272766955273,"POINT (-51.062 -2.737)","VM0015",0,"humid",-51.062,-2.737,81496.2837847382,-1632.97,5.964764441,0.05600232894,131.9910368,81.4962837847382,1,"No","No","ND","No","Yes","Yes","Non-conditional",1,1,1,1,"No_cash","Brazil","No","Private_VCS_CCB",4,194534,12.1783622339616,-0.83942652698243,2009
981,17,"Pacajai REDD+ Project","yes","ND","humid","ND","private;communities","private","other land speculation;illegal logging;infrastructure","no","ND","None","ND","ND","yes","Training & Capacity Building; Legal & Land Rights; Infrastructure & Equipment","agroforestry;fuel efficient cookstoves","yes","Land titling & tenure security","yes","yes","yes","ND","ND","VCS;CCB","ecosystem restoration;climate;biodiversity conservation","Guernsey","private for profit",31073.47933,23266.33373,14643.24195,96998.65833,"VM0015","Brazil",516.34,2289.87,-1773.53,7228.71,32058.16,-24829.45,NA,"Success",1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,"BRA","Brazil","America","BRAr105","Para",2.45272766955273,0,2.45272766955273,"POINT (-51.31586 -1.979919)","VM0015",0,"humid",-51.315856,-1.979919,53724.2955690064,-1773.53,14.64324195,23.26633373,96.99865833,53.7242955690064,0,"Yes","ND","ND","ND","ND","Yes","ND",1,1,1,0,"ND","Brazil","ND","Private_VCS_CCB",3,149302,11.9137263792848,-1.18788093930423,2009
985,38,"Cordillera Azul National Park REDD Project","no","yes","humid","ND","state","state","illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods;oil extraction","yes","non-conditional","Job","no","yes","yes","Training & Capacity Building","agroforestry;ecotourism","yes","Land titling & tenure security; Land use planning & demarcation","yes","yes","ND","ND","ND","VCS;CCB","biodiversity conservation;climate;social development","Peru","ngo/private non for profit",33053.55759,33053.55759,3052.939065,149526.9218,"VM0007","Peru",478.46,650.58,-172.12,7176.96,9758.73,-2581.77,"Yes","Success",1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,"PER","Peru","America","PERr102","North East (Amazonas, Loreto, San Martin, Ucayali)",2.70717511586071,0,2.70717511586071,"POINT (-76.093 -7.817)","VM0007",0,"humid",-76.093,-7.817,61060.3796089049,-172.12,3.052939065,33.05355759,149.5269218,61.060379608905,1,"No","Yes","ND","No","Yes","Yes","Non-conditional",1,0,0,1,"No_cash","Peru","No","NGO_VCS_CCB",6,1346518,14.1130325591355,-0.0127825992671468,2008
