ID,VCS,Longitude,Latitude,project_name,FPIC,Protected Area,Forest Type,Contested,Customary_use,legal_tenure,deforestation_driver,monetary_benefit_yn,monetary_benefit_type,monetary_benefit_type,direct_cash_yn,employment_yn,non_cash_benefits_yn,non_cash_benefits_type,economic_activities_list,tenure_yn,tenure_type,education_yn,restriction_yn,enhancement_yn,infrastructure_yn,wellbeing_yn,standards,project_objectives,nationality,type_partner,dist_road_m,dist_road_track_m,dist_water_m,dist_urban_m
1,875,-59.264904,-9.096279,Florestal Santa Maria project,no,no,humid,ND,private,state,fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods;slash and burn agriculture,yes,conditional,PES,yes,yes,yes,Training & Capacity Building,processing and commercialization,no,ND,yes,no,no,no,no,VCS,timber production;social development;biodiversity conservation,Brazil,private for profit,4113.729213,2098.134798,806.3299777,354873.952
2,977,-51.062,-2.737,RMDLT Portel - Pará REDD Project,no,no,humid,ND,private;communities,state,industrial agriculture or cattle ranching;infrastructure;slash and burn agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Microfinance & Enterprise Support,agroforestry;microenterprise,yes,Land titling & tenure security,yes,no,no,no,no,ND,climate;biodiversity conservation;participatory forest management,Switzerland;United States;Belize,private for profit,18414.41253,56.00232894,5964.764441,131991.0368
3,963,-69.444,-9.044,The Purus Project,yes,no,humid,no,private,state,fire;local livelihoods;slash and burn agriculture,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building; Health Services; Infrastructure & Equipment,ecotourism,yes,Land titling & tenure security,yes,yes,yes,yes,yes,CCB;VCS,social development;biodiversity conservation;ND,United States,private for profit,11245.88314,11245.88314,2387.689868,200416.6107
4,1118,-61.2,-11,Suruí Forest Carbon Project (SFCP),yes,no,humid,yes,communities,state,illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods,yes,conditional,PES,ND,yes,yes,Training & Capacity Building; Microfinance & Enterprise Support; Health Services,agroforestry;ecotourism;plantation forestry;tree planting,yes,ND,no,yes,no,no,yes,CCB;VCS,social development;biodiversity conservation;climate,Brazil,ngo/private non for profit,12284.64748,7111.917596,3597.621466,53634.21299
5,1115,-52.5,-0.5,Jari/Amapá REDD+ project,yes,yes,humid,no,private,private,cattle grazing;illegal logging;infrastructure;local livelihoods;population increase;transient agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Agricultural & Livelihood Support,agriculture;agroforestry;other;processing and commercialization,no,ND,yes,yes,no,ND,yes,CCB;VCS,climate;biodiversity conservation;social development,Brazil,private for profit;ngo/private non for profit,16072.30732,14975.50469,461.351292,153325.3601
6,1329,-49.416667,-3.25,Maísa REDD+ Project,no,yes,humid,ND,private,private,cattle grazing;illegal logging;industrial agriculture or cattle ranching;local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,processing and commercialization,ND,ND,no,yes,no,no,no,VCS;CCB,climate;biodiversity conservation;social development,Brazil,private for profit,4583.860212,4583.860212,17511.91687,60592.92051
7,1503,-62.25,-8.916667,Resex Rio Preto-Jacundá REDD+ Project,yes,yes,humid,ND,private,private,cattle grazing;illegal logging;transient agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Health Services,processing and commercialization,yes,Land use planning & demarcation,yes,yes,no,yes,yes,VCS;CCB,climate;social development;biodiversity conservation,Brazil,ngo/private non for profit;private for profit,3835.994784,3835.994784,5621.615937,138253.6823
8,1113,-72.349104,-8.107619,The Valparaiso Project,no,no,humid,no,communities,communities,illegal logging;infrastructure;local livelihoods,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building,agriculture;other,yes,Land titling & tenure security,yes,yes,yes,no,yes,VCS;CCB,biodiversity conservation;climate;ND,United States;Brazil,private for profit;ngo/private non for profit,4680.501374,4651.400834,381.0277236,62478.84429
9,1112,-72.608333,-8.166667,The Russas Project,no,no,humid,no,communities,communities,illegal logging;infrastructure;local livelihoods,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building,other,yes,Land titling & tenure security,yes,yes,yes,ND,ND,VCS;CCB,biodiversity conservation;climate;ND,United States;Brazil,private for profit,15749.21178,15070.54707,3814.620821,59061.91468
10,1654,-66.13333,-8.916666,Fortaleza Ituxi REDD Project,ND,no,humid,yes,private,private,cattle grazing;illegal logging;industrial agriculture or cattle ranching;local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,tree planting,no,ND,yes,no,yes,no,yes,VCS;CCB,biodiversity conservation;climate;non timber production,Brazil,private for profit,274.0166156,274.0166156,6493.562052,217218.9184
11,1571,-62.70768,-8.864257,Manoa REDD+ Project,yes,yes,humid,yes,private,private,cattle grazing;illegal logging;infrastructure;local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,agriculture;agroforestry;tree planting,no,ND,yes,yes,yes,no,yes,VCS;CCB;FSC,climate;biodiversity conservation;social development,Brazil,private for profit,7910.688344,3621.723676,1173.522078,120067.1559
12,1686,-70.526498,-9.047868,Agrocortex REDD Project,no,ND,humid,ND,state;private;communities,state;private;communities,illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,ND,yes,Land use planning & demarcation,yes,yes,yes,no,yes,VCS,biodiversity conservation;climate;social development,Brazil,private for profit,40370.90243,35810.19656,1060.451109,285082.0201
13,2252,-50.82404,-1.938712,Rio Anapu-Pacaja REDD Project,no,no,humid,no,communities,communities,local livelihoods,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Health Services,agriculture;agroforestry;ecotourism;fuel efficient stoves,yes,Land titling & tenure security,yes,yes,no,no,yes,VCS;CCB,indigenous peoples;social development;climate,Brazil,private for profit,30.88281028,30.88281028,1160.280722,45696.45397
14,2373,-59.696525,-5.6237778,Yellow Ipê Program,ND,yes,humid,no,private;state;communities,private;state,cattle grazing;infrastructure;local livelihoods,yes,conditional,Pension; PES,yes,ND,yes,Training & Capacity Building,ntfp,no,ND,yes,yes,yes,no,yes,VCS,climate;social development;biodiversity conservation,Brazil,private for profit,42806.70798,11032.4212,4268.102833,276880.1315
15,2539,-59.394978,-7.560309,EVERGREEN REDD+ PROJECT,yes,yes,humid,ND,private;communities,private,illegal logging;agriculture;local livelihoods,yes,non-conditional,Job,no,yes,yes,Infrastructure & Equipment,ntfp,yes,ND,yes,yes,ND,ND,ND,VCS,ecosystem restoration;social development;biodiversity conservation,Brazil,private for profit,34767.40209,34767.40209,28811.48882,465308.0376
16,2508,-66.347021,-9.142691,UNITOR REDD+ PROJECT,yes,no,humid,yes,private;communities,private,industrial agriculture or cattle ranching;population increase;infrastructure;illegal logging;fire;other policy,yes,conditional,Carbon revenue sharing,yes,yes,yes,Health Services,ntfp,yes,Land titling & tenure security,yes,yes,no,ND,yes,VCS,climate;biodiversity conservation;social development,Brazil,private for profit;local communities/landowners/cooperatives,5589.264591,5589.264591,8985.638498,183779.4732
17,981,-51.315856,-1.979919,ADPML Portel-Para REDD Project,yes,ND,humid,ND,private;communities,private,other land speculation;illegal logging;infrastructure,no,ND,None,ND,ND,yes,Training & Capacity Building; Legal & Land Rights; Infrastructure & Equipment,agroforestry;fuel efficient cookstoves,yes,Land titling & tenure security,yes,yes,yes,ND,ND,VCS;CCB,ecosystem restoration;climate;biodiversity conservation,Guernsey,private for profit,31073.47933,23266.33373,14643.24195,96998.65833
18,904,103.66264,14.30416,Oddar Meanchey REDD Project,no,no,dry and humid,ND,communities,communities,energy wood;fire;illegal logging;industrial wood exploitation;local livelihoods;oil extraction,yes,conditional,Carbon revenue sharing,ND,yes,yes,Training & Capacity Building; Infrastructure & Equipment; Water & Sanitation,micro-credits;processing and commercialization,yes,Land titling & tenure security,yes,yes,yes,no,yes,CCB;VCS,biodiversity conservation;climate;social development,United States;Cambodia,ngo/private non for profit;public;private for profit,40.861436,40.861436,12553.72182,44692.85067
19,1650,106.921028,12.136975,Seima Protection Forest REDD pilot project,no,yes,dry and humid,ND,communities,state,industrial agriculture or cattle ranching;infrastructure;slash and burn agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment,ecotourism;micro-credits;plantation forestry;tree planting,yes,Land titling & tenure security,yes,yes,no,yes,no,CCB;VCS,biodiversity conservation;social development;timber production,Cambodia;United States,public;ngo/private non for profit,204.503461,204.503461,698.8425342,33793.44635
20,856,-77.330833,8.405559,The Chocó-Darién Conservation Corridor REDD Project,no,no,humid,no,private;communities,communities,illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods,yes,both,PES,yes,yes,yes,Training & Capacity Building; Microfinance & Enterprise Support; Health Services; Infrastructure & Equipment,agriculture;conservation agriculture;micro-credits;microenterprise;processing and commercialization,yes,Land titling & tenure security,no,yes,yes,yes,yes,CCB;VCS,biodiversity conservation;social development;climate,United States;Colombia,private for-profit;ngo/private non for profit,7300.167008,6161.451903,807.1818881,73483.76606
21,1396,-76.93361,5.201944,Rio Pepe y ACABA REDD+ Project,yes,no,humid,no,communities,communities,illegal logging;local livelihoods,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation,agriculture;agroforestry,yes,Land titling & tenure security,no,yes,no,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,956.497048,956.497048,1139.583359,60583.23708
22,1400,-77.22167,4.704722,Concosta REDD+ Project,yes,no,humid,no,communities,communities,illegal logging;local livelihoods,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation,agriculture;agroforestry,yes,Land titling & tenure security,no,yes,yes,yes,yes,VCS;CCB,climate;biodiversity conservation;social development,Colombia,public,32271.6437,32271.6437,1601.966792,91111.45256
23,1399,-76.487778,7.298889,Mutatá REDD+ Project,yes,no,humid,no,communities,communities,industrial wood exploitation;local livelihoods,yes,conditional,PES,yes,yes,yes,Training & Capacity Building,other,yes,Land titling & tenure security,yes,yes,yes,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,1261.700777,1261.700777,77.36197029,44597.34709
24,1392,-77.195556,3.444167,Cajambre REDD+ Project,yes,yes,humid,no,communities,communities,cattle grazing;illegal logging;industrial agriculture or cattle ranching,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services,agriculture;fishing,yes,Land use planning & demarcation,yes,yes,ND,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,34813.11496,30069.7553,1330.533819,49297.22584
25,1390,-76.980833,6.924444,Carmen del Darién (CDD) REDD+ Projec,yes,no,humid,no,communities,communities,ND,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation,agriculture;fishing,yes,Land titling & tenure security; Land use planning & demarcation,yes,yes,yes,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,31281.88248,23911.3682,2116.518807,88118.60231
26,1391,-77.318611,4.96,"Sivirú, Usaragá, Pizarro y Pilizá (SUPP) REDD+ Project",yes,no,humid,no,communities,communities,illegal logging;local livelihoods,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation,agriculture;fishing,yes,Land titling & tenure security,yes,yes,yes,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,4883.651186,4883.651186,381.4881766,108183.5711
27,1395,-77.159722,4.005278,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,yes,yes,humid,yes,communities,communities,industrial wood exploitation;illegal logging;industrial agriculture or cattle ranching;cattle grazing,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation,agriculture;fishing,yes,Land titling & tenure security; Land use planning & demarcation,yes,yes,yes,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,5450.88852,5450.88852,9647.228581,14216.32769
28,1389,-78.892778,1.642778,ACAPA – Bajo Mira y Frontera (ACAPA-BMF) REDD+ Project,yes,no,humid,no,communities,communities,illegal logging;local livelihoods,yes,conditional,PES,yes,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation,agriculture;fishing,yes,Land titling & tenure security; Land use planning & demarcation,yes,yes,yes,yes,yes,CCB;VCS,climate;biodiversity conservation;social development,Colombia,public,7976.250094,6275.409981,220.1274703,18517.53599
29,1566,-68.868802,4.089561,REDD+ Project Resguardo Indígena Unificado de la Selva de Matavén (RIU-SM),ND,no,dry and humid,yes,communities,communities,industrial agriculture or cattle ranching;local livelihoods;mining,ND,ND,ND,ND,ND,yes,Agricultural & Livelihood Support; Infrastructure & Equipment,agriculture;agroforestry,no,ND,yes,yes,ND,ND,ND,CCB;VCS,biodiversity conservation;ecosystem restoration;social development;climate,Colombia,ngo/private non for profit;private for profit,61638.88091,61638.88091,23789.56845,220690.1576
30,934,18.1062,-2.045,The Mai N'dombe REDD+ Project,no,no,humid,yes,private;communities,state,charcoal production;energy wood;industrial wood exploitation;local livelihoods;slash and burn agriculture,yes,non-conditional,Job,yes,yes,yes,Training & Capacity Building; Health Services,agriculture;agroforestry;tree planting,no,ND,yes,yes,yes,yes,yes,VCS;CCB,return on investment;climate;social development,Canada;United States,private for profit;ngo/private non for profit,2879.870155,2572.372618,3048.929076,158196.8684
31,1398,106.02861,14.690832,Reducing Emissions from Deforestation and Carbon Enhancement in Xe Pian National Protected Area,yes,yes,other,no,state;communities,state,illegal logging;industrial agriculture or cattle ranching;local livelihoods,ND,ND,PES,ND,yes,no,ND,ecotourism,yes,Land use planning & demarcation,yes,yes,yes,yes,ND,CCB;VCS,biodiversity conservation;social development;climate,Austria;Lao People's Democratic Republic,private for-profit;ngo/private non for profit,6356.387049,6356.387049,6522.502142,50265.09587
32,1311,48.833333,-17.666667,"Reduced Emissions from Deforestation in the Ankeniheny-Zahamena Corridor (CAZ) Protected Area, Madagascar",no,yes,humid,no,state;private;communities,state,local livelihoods;slash and burn agriculture,yes,non-conditional,Job; Grant,ND,yes,yes,Training & Capacity Building; Health Services,agriculture;agroforestry;conservation agriculture;ecotourism,no,ND,no,yes,yes,no,yes,VCS;CCB,biodiversity conservation;climate;social development,United States;Madagascar,ngo/private non for profit;public,438.9666426,438.9666426,404.2298383,64037.34441
33,1674,38.333569,-16.622393,Gilé National Reserve REDD Project,yes,yes,dry,no,communities,communities,charcoal production;illegal logging;local livelihoods;slash and burn agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Agricultural & Livelihood Support,agriculture;tree planting,yes,ND,yes,yes,yes,ND,ND,VCS;CCB,climate;social development;biodiversity conservation,Mozambique,public;ngo/private non for profit,13862.73187,13862.73187,20007.82436,98356.32559
34,1067,-69.537872,-12.689883,Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru,no,yes,humid,ND,communities,communities,infrastructure;local livelihoods;mining,yes,conditional,PES,yes,ND,yes,Training & Capacity Building,agroforestry;ecotourism;processing and commercialization;sustainable mining activities,no,ND,no,yes,no,no,no,CCB;VCS,climate;social development;biodiversity conservation,Peru,ngo/private non for profit,933.4834158,188.553544,4941.732255,35899.8781
35,958,-77.19922,-7.06739,Biocorridor Martin Sagrado REDD+ Project,no,no,humid,yes,private;communities,private;communities,industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure;local livelihoods;mining,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Health Services ,agroforestry;ecotourism;micro-credits;processing and commercialization,yes,Land use planning & demarcation,yes,yes,yes,no,yes,CCB;VCS,biodiversity conservation;social development;climate,France,private for profit,15411.07675,15411.07675,168.9580522,110540.5047
36,944,-77.3315,-5.6432,Alto Mayo Conservation Initiative,no,yes,humid,ND,state;private;communities,state,industrial agriculture or cattle ranching;infrastructure;local livelihoods,yes,conditional,PES,yes,ND,yes,Training & Capacity Building; Infrastructure & Equipment; Health Services,other,no,ND,yes,yes,yes,yes,yes,CCB;VCS,social development;biodiversity conservation;climate,Peru,ngo/private non for profit,5623.27944,5623.27944,873.7269979,56787.7906
37,844,-70.050486,-11.075057,Madre de Dios Amazon REDD Project,ND,no,humid,ND,private,state,illegal logging;transient agriculture,yes,non-conditional,Ecotourism,yes,ND,yes,Training & Capacity Building; Health Services; Infrastructure & Equipment; Water & Sanitation,fishing;other,no,ND,yes,yes,yes,yes,yes,CCB;VCS;FSC,climate;indigenous peoples;biodiversity conservation,Uruguay,ngo/private non for profit,4674.938677,4674.938677,9320.788688,140835.1275
38,985,-76.093,-7.817,REDD Project in the Cordillera Azul National Park,no,yes,humid,ND,state,state,illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods;oil extraction,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building,agroforestry;ecotourism,yes,Land titling & tenure security; Land use planning & demarcation,yes,yes,ND,ND,ND,VCS;CCB,biodiversity conservation;climate;social development,Peru,ngo/private non for profit,33053.55759,33053.55759,3052.939065,149526.9218
39,1218,-69.249983,-12.762983,"Evio Kuiñaje Ese Eja Cuana to mitigate climate change, Madre de Dios- Perú",ND,no,humid,no,communities,state;communities,illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods,ND,ND,ND,ND,no,yes,Training & Capacity Building,agroforestry;ecotourism,yes,ND,yes,no,yes,ND,ND,CCB;VCS,biodiversity conservation;climate;participatory forest management,Peru,local communities/landowners/cooperatives,3096.829752,3096.829752,1699.280444,17071.05015
40,1882,-77.171749,-7.255525,REDD in the Conservation Concession Alto Huayabamba,no,no,humid,ND,private,private,infrastructure;local livelihoods;mining,yes,conditional,PES,yes,ND,yes,Training & Capacity Building,ecotourism;processing and commercialization,no,ND,yes,yes,no,ND,ND,CCB;VCS,biodiversity conservation;social development;participatory forest management,Peru,ngo/private non for profit,16900.56648,16900.56648,3805.655489,121860.4551
41,1360,-75.27214,-9.003746,Forest Management to Reduce Deforestation and Degradation in Shipibo Conibo and Cacataibo Indigenous Communities of Ucayali Region,ND,no,humid,no,communities,ND,cattle grazing;illegal logging;local livelihoods;mining,yes,conditional,Carbon revenue sharing,yes,ND,yes,Infrastructure & Equipment; Agricultural & Livelihood Support,agriculture;agroforestry;fishing;plantation forestry;processing and commercialization;tree planting,no,ND,yes,yes,yes,no,no,VCS;CCB;FSC,climate;social development;biodiversity conservation,Peru,ngo/private non for profit,1574.5265,1574.5265,49.48531877,85716.7524
42,2278,-70.476654,-11.209927,The Jaguar Amazon REDD Project,no,yes,humid,no,private,private,industrial wood exploitation,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Microfinance & Enterprise Support; Water & Sanitation,agriculture;fishing,no,ND,no,yes,no,no,yes,CCB;VCS,climate;social development;biodiversity conservation,Uruguay,ngo/private non for profit,12507.13625,12507.13625,2734.660234,189258.5216
43,1799,-69.579607,-10.947901,"FOREST MANAGEMENT TO MITIGATE CLIMATE CHANGE IN BÉLGICA NATIVE COMMUNITY, MADRE DE DIOS REGION – PERU",yes,no,humid,no,communities,communities,industrial wood exploitation;slash and burn agriculture;industrial agriculture or cattle ranching;illegal logging;infrastructure,yes,conditional,Carbon revenue sharing,yes,yes,yes,Training & Capacity Building,agroforestry;fishing;ntfp;other silvopastoral;other sustainable timber harvesting,no,ND,yes,yes,no,ND,yes,VCS;CCB,climate;social development;biodiversity conservation,Peru,ngo/private non for profit,546.8325189,546.8325189,562.6011409,88869.73047
44,1201,-10.9813,7.719627,Gola REDD Project,yes,yes,humid,ND,communities,state,illegal logging;industrial agriculture or cattle ranching;local livelihoods;mining,yes,non-conditional,Ecotourism,yes,yes,yes,Training & Capacity Building; Agricultural & Livelihood Support; Infrastructure & Equipment,agriculture;agroforestry;ecotourism,yes,Land use planning & demarcation,yes,yes,no,no,yes,CCB;VCS,biodiversity conservation;social development;non timber production,Sierra Leone,ngo/private non for profit,2187.989043,2028.297372,1660.908896,25368.47764
45,1897,35.625665,-9.118547,Ntakata Mountains REDD,yes,no,humid,yes,communities,state,cattle grazing;infrastructure;local livelihoods;mining;slash and burn agriculture,yes,non-conditional,Job,no,yes,yes,Training & Capacity Building; Microfinance & Enterprise Support; Health Services,agriculture,yes,Land use planning & demarcation,yes,yes,no,yes,yes,VCS;CCB,participatory forest management;climate;biodiversity conservation,"Tanzania, United Republic of",ngo/private non for profit,20.73385889,20.73385889,4489.787115,90827.53221
46,1202,28.963333,-15.342778,Lower Zambezi REDD+ project,yes,yes,dry,no,private,private,charcoal production;local livelihoods;slash and burn agriculture,yes,conditional,Ecotourism,yes,yes,yes,Training & Capacity Building; Agricultural & Livelihood Support; Microfinance & Enterprise Support; Health Services; Water & Sanitation,agriculture;agroforestry;economic interest groups;ecotourism;microenterprise;tree planting,no,ND,yes,yes,yes,yes,yes,CCB;VCS,biodiversity conservation;climate;social development,Mauritius,private for profit,6555.254711,2388.793901,6538.034169,60528.45197
47,1775,32.86468,-12.820198,Comaco Landscape Management Project,yes,ND,other,no,communities,communities,charcoal production;energy wood;local livelihoods;slash and burn agriculture,yes,conditional,Carbon revenue sharing; Indirect income,yes,ND,yes,Training & Capacity Building; Microfinance & Enterprise Support,agriculture;agroforestry;microenterprise;other,yes,Land use planning & demarcation,yes,yes,ND,ND,ND,VCS,social development;biodiversity conservation;ND,Zambia;Germany,ngo/private non for profit;private for profit,5097.635198,411.1155349,388.1284402,66730.56799
48,2558,-50.161,-2.4,ABC Norte REDD Project,yes,no,humid,no,private,private,industrial agriculture or cattle ranching;illegal logging;infrastructure;slash and burn agriculture;industrial wood exploitation,yes,conditional,PES,no,yes,yes,Training & Capacity Building; Agricultural & Livelihood Support,other,no,,yes,yes,no,yes,yes,VCS;CCB,climate;biodiversity conservation;social development,Brazil,Private for profit,23009.70804,23009.70804,2697.710996,85433.88264
49,2566,-57.508772,-17.967422,The Serra do Amolar REDD+ Project,yes,yes,humid,no,communities,state;private;communities,industrial agriculture;cattle ranching,yes,conditional,Job; Ecotourism,no,yes,yes,Training & Capacity Building; Infrastructure & Equipment,ecotourism,yes,,yes,yes,yes,yes,yes,VCS;CCB,climate;social development;biodiversity conservation,Brazil,NGO,13955.91429,13955.91429,1693.96252,120892.2908
50,2723,-76.587708,5.094653,Condoto REDD+ Project,yes,no,humid,yes,communities,communities,mining;illegal logging;local livelihoods,yes,conditional,Job ,no,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation; Agricultural & Livelihood Support,agriculture,yes,,yes,yes,yes,yes,yes,VCS;CCB,climate;biodiversity conservation;social development,Colombia,public;private for profit,2445.776302,2445.776302,1663.067627,64036.79557
51,2502,-69.973701,-11.359049,Tahuamanu Amazon REDD Project,no,yes,humid,no,communities,public,agriculture;illegal logging,yes,conditional,Job ,no,yes,yes,Health Services; Water & Sanitation; Training & Capacity Building,agriculture,yes,,yes,yes,yes,yes,yes,VCS;CCB,climate;biodiversity conservation;social development,Peru,Private for profit,25479.45382,14349.87559,3641.484081,137273.4016
52,2510,23.941062,6.251735,Chinko Conservation Area REDD+ Project,no,yes,dry and humid,no,communities,public,local livelihoods;slash and burn agriculture,yes,conditional,Job ,no,yes,yes,Training & Capacity Building; Health Services; Water & Sanitation; Agricultural & Livelihood Support,agriculture;other,no,ND,yes,yes,yes,yes,yes,VCS;CCB,climate;community;biodiversity conservation,Central African Republic,NGO,9622.004569,3621.231888,27027.7917,270563.0464
,,,,,,,,,,,,,,,,,,,,,Land use planning & demarcation,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Land use planning & demarcation,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Land titling & tenure security; Land use planning & demarcation,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,,,,,